Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
Balanssystemet jäskällaren,Lutdisk,90,2019-05-21,2019-08-19,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
Kolsyraledning,Rengjord,90,2018-04-27,2018-07-26,,,,,Filtrering,Sällan,FALSE,TRUE,,
Byt ut gula rengöringsverktyg (Filtrering),Genomförd,720,2019-01-31,2021-01-20,,,,,Filtrering,Sällan,FALSE,TRUE,,
Stora balanssystemet (1),Lutdisk,90,2018-09-14,2018-12-13,,,,,Filtrering,Sällan,FALSE,TRUE,,
BBT 316,Syradisk,7,2019-03-10,2019-03-17,Lutdisk,21,2019-03-10,2019-03-31,Filtrering,Vanlig,TRUE,FALSE,,
Byt ut blåa rengöringsverktyg (Filtrering),Genomförd,1440,2017-01-27,2021-01-06,,,,,Filtrering,Sällan,FALSE,TRUE,,
Byt ut blåa rengöringsverktyg (Brygghuset),Genomförd,1440,2017-01-27,2021-01-06,,,,,Brygghuset,Sällan,FALSE,TRUE,,
Byt ut gula rengöringsverktyg (Brygghuset),Genomförd,720,2017-01-27,2019-01-17,,,,,Brygghuset,Sällan,FALSE,TRUE,,
CIP av 321 och 45 Tillsammans,Lutdisk,30,2019-05-15,2019-06-14,,,,,Filtrering,Vanlig,FALSE,TRUE,,
Byte av filterpatroner,Genomförd,180,2019-05-17,2019-11-13,,,,,Filtrering,Sällan,FALSE,TRUE,,
LT 01,Syradisk,14,2019-05-15,2019-05-29,Lutdisk,180,2019-05-15,2019-11-11,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=01,
LT 03,Syradisk,14,2018-10-11,2018-10-25,Lutdisk,180,2018-07-22,2019-01-18,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=03,
LT 02,Lutdisk,90,2018-09-21,2018-12-20,,,,,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=02,
LT 05,Syradisk,14,2019-05-10,2019-05-24,Lutdisk,180,2019-05-10,2019-11-06,Lagerkällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=05,
