Objekt	Date	CleaningType
BBT 308	2017-07-31	Lutdisk
BBT 313	2017-07-31	Syradisk
BBT 316	2017-07-31	Syradisk
BBT 305	2017-07-31	Lutdisk
BBT 315	2017-08-01	Syradisk
BBT 322	2017-08-01	Syradisk
BBT 306	2017-08-01	Syradisk
BBT 324	2017-08-01	Syradisk
BBT 309	2017-08-01	Lutdisk
BBT 312	2017-08-02	Lutdisk
BBT 325	2017-08-02	Lutdisk
BBT 317	2017-08-02	Lutdisk
BBT 304	2017-08-02	Lutdisk
BBT 314	2017-08-03	Syradisk
BBT 310	2017-08-03	Lutdisk
T34	2017-08-04	Syradisk
T45	2017-08-04	Lutdisk
Gurtank T67	2017-08-04	Syradisk
Gurtank T68	2017-08-04	Syradisk
Gurtank T66	2017-08-04	Syradisk
Gamla runtkörningen	2017-08-04	Totaldisk
Vattenfilter	2017-08-04	Syradisk
BBT 316	2017-08-06	Lutdisk
BBT 315	2017-08-07	Lutdisk
BBT 307	2017-08-07	Lutdisk
BBT 305	2017-08-07	Syradisk
BBT 306	2017-08-08	Syradisk
BBT 317	2017-08-08	Syradisk
BBT 318	2017-08-08	Lutdisk
BBT 312	2017-08-08	Syradisk
BBT 311	2017-08-08	Syradisk
BBT 308	2017-08-08	Syradisk
BBT 316	2017-08-09	Syradisk
BBT 324	2017-08-09	Lutdisk
BBT 320	2017-08-09	Syradisk
BBT 323	2017-08-09	Lutdisk
BBT 309	2017-08-09	Syradisk
BBT 314	2017-08-10	Lutdisk
BBT 304	2017-08-10	Syradisk
BBT 325	2017-08-10	Syradisk
BBT 321	2017-08-11	Lutdisk
T45	2017-08-13	Syradisk
T34	2017-08-13	Syradisk
Filtret-Veckoavslut	2017-08-13	Lutsterilning
Maltax	2017-08-13	Rengjord
BBT 307	2017-08-13	Syradisk
BBT 313	2017-08-13	Syradisk
BBT 317	2017-08-14	Syradisk
BBT 312	2017-08-14	Syradisk
BBT 311	2017-08-14	Lutdisk
BBT 315	2017-08-14	Syradisk
BBT 318	2017-08-14	Syradisk
BBT 322	2017-08-15	Lutdisk
BBT 306	2017-08-15	Lutdisk
BBT 310	2017-08-15	Syradisk
BBT 316	2017-08-15	Syradisk
BBT 324	2017-08-15	Syradisk
BBT 323	2017-08-16	Lutdisk
BBT 314	2017-08-16	Syradisk
BBT 325	2017-08-16	Syradisk
BBT 320	2017-08-16	Lutdisk
BBT 321	2017-08-16	Lutdisk
BBT 305	2017-08-17	Syradisk
T34	2017-08-18	Lutdisk
T45	2017-08-18	Syradisk
Stora balanssystemet (1)	2017-08-18	Lutdisk
T34	2017-08-18	Lutdisk
T45	2017-08-18	Lutdisk
Maltax	2017-08-18	Rengjord
Filtret-Veckoavslut	2017-08-18	Lutsterilning
Lilla balanssystemet (2)	2017-08-18	Lutdisk
301 Vattentank	2017-08-18	Lutdisk
302 Vattentank	2017-08-18	Lutdisk
Vattenfilter	2017-08-18	Syradisk
BBT 304	2017-08-20	Syradisk
BBT 313	2017-08-20	Lutdisk
BBT 321	2017-08-20	Syradisk
BBT 306	2017-08-20	Syradisk
BBT 309	2017-08-21	Lutdisk
BBT 322	2017-08-22	Syradisk
BBT 308	2017-08-22	Lutdisk
BBT 317	2017-08-23	Syradisk
BBT 324	2017-08-24	Syradisk
BBT 307	2017-08-24	Syradisk
BBT 323	2017-08-24	Syradisk
BBT 318	2017-08-24	Syradisk
BBT 325	2017-08-24	Lutdisk
BBT 312	2017-08-25	Lutdisk
BBT 309	2017-08-25	Lutdisk
BBT 314	2017-08-25	Syradisk
BBT 320	2017-08-25	Syradisk
BBT 305	2017-08-25	Lutdisk
T45	2017-08-26	Syradisk
Filtret-Veckoavslut	2017-08-27	Lutsterilning
BBT 308	2017-08-27	Syradisk
BBT 316	2017-08-27	Syradisk
BBT 306	2017-08-28	Syradisk
BBT 320	2017-08-28	Syradisk
BBT 311	2017-08-28	Syradisk
BBT 310	2017-08-28	Lutdisk
BBT 317	2017-08-29	Lutdisk
BBT 313	2017-08-30	Syradisk
BBT 312	2017-08-31	Syradisk
BBT 307	2017-08-31	Syradisk
BBT 323	2017-08-31	Syradisk
Maltax	2017-08-31	Rengjord
Filtret	2017-08-31	Rengjord
Filtret-Veckoavslut	2017-08-31	Lutsterilning
Filtret Sterilning	2017-08-31	Genomförd
T34	2017-08-31	Syradisk
BBT 304	2017-08-31	Lutdisk
T45	2017-08-31	Syradisk
Aldox	2017-09-01	Syradisk
BBT 308	2017-09-03	Syradisk
BBT 314	2017-09-03	Lutdisk
BBT 321	2017-09-03	Syradisk
BBT 309	2017-09-03	Syradisk
BBT 318	2017-09-04	Lutdisk
BBT 322	2017-09-04	Syradisk
BBT 324	2017-09-04	Lutdisk
Filtret Sterilning	2017-09-04	Genomförd
BBT 317	2017-09-04	Lutdisk
BBT 306	2017-09-04	Syradisk
Vattenfilter	2017-09-05	Syradisk
BBT 313	2017-09-05	Syradisk
BBT 305	2017-09-05	Syradisk
BBT 310	2017-09-05	Syradisk
BBT 306	2017-09-06	Lutdisk
BBT 307	2017-09-06	Lutdisk
BBT 308	2017-09-06	Syradisk
BBT 315	2017-09-07	Lutdisk
BBT 323	2017-09-07	Lutdisk
BBT 304	2017-09-07	Syradisk
T34	2017-09-08	Syradisk
T34	2017-09-08	Lutdisk
Maltax	2017-09-08	Rengjord
T45	2017-09-08	Lutdisk
Aldox	2017-09-09	Syradisk
Filtret-Veckoavslut	2017-09-09	Lutsterilning
BBT 325	2017-09-10	Syradisk
BBT 322	2017-09-10	Lutdisk
BBT 312	2017-09-10	Syradisk
BBT 314	2017-09-10	Syradisk
BBT 304	2017-09-11	Syradisk
BBT 309	2017-09-11	Syradisk
BBT 316	2017-09-11	Lutdisk
BBT 310	2017-09-12	Syradisk
BBT 318	2017-09-12	Syradisk
Filtret Sterilning	2017-09-12	Genomförd
BBT 313	2017-09-12	Lutdisk
BBT 311	2017-09-12	Lutdisk
BBT 305	2017-09-13	Syradisk
BBT 306	2017-09-13	Syradisk
BBT 323	2017-09-13	Syradisk
BBT 318	2017-09-13	Syradisk
BBT 317	2017-09-13	Syradisk
BBT 307	2017-09-14	Syradisk
Lilla balanssystemet (2)	2017-09-14	Lutdisk
Stora balanssystemet (1)	2017-09-14	Lutdisk
BBT 315	2017-09-14	Syradisk
BBT 324	2017-09-14	Syradisk
BBT 321	2017-09-15	Lutdisk
301 Vattentank	2017-09-15	Lutdisk
302 Vattentank	2017-09-15	Lutdisk
303 Vattentank	2017-09-15	Lutdisk
Aldox	2017-09-15	Syradisk
Maltax	2017-09-15	Rengjord
T45	2017-09-15	Lutdisk
T34	2017-09-16	Lutdisk
BBT 309	2017-09-17	Lutdisk
BBT 317	2017-09-17	Syradisk
BBT 311	2017-09-17	Syradisk
BBT 322	2017-09-17	Syradisk
BBT 316	2017-09-17	Syradisk
BBT 325	2017-09-18	Lutdisk
BBT 320	2017-09-18	Lutdisk
BBT 309	2017-09-18	Syradisk
BBT 308	2017-09-18	Lutdisk
BBT 305	2017-09-19	Lutdisk
BBT 304	2017-09-19	Syradisk
BBT 312	2017-09-19	Lutdisk
BBT 323	2017-09-20	Syradisk
Filtret Sterilning	2017-09-20	Genomförd
BBT 314	2017-09-20	Syradisk
BBT 317	2017-09-20	Lutdisk
BBT 306	2017-09-21	Syradisk
BBT 307	2017-09-21	Syradisk
BBT 318	2017-09-21	Syradisk
BBT 324	2017-09-21	Syradisk
T34	2017-09-22	Lutdisk
Maltax	2017-09-22	Rengjord
Filtret-Veckoavslut	2017-09-22	Lutsterilning
BBT 322	2017-09-24	Syradisk
BBT 311	2017-09-25	Syradisk
BBT 320	2017-09-25	Syradisk
BBT 325	2017-09-25	Syradisk
BBT 316	2017-09-25	Syradisk
BBT 312	2017-09-25	Syradisk
BBT 305	2017-09-26	Syradisk
BBT 310	2017-09-26	Lutdisk
BBT 309	2017-09-27	Syradisk
BBT 323	2017-09-27	Syradisk
BBT 313	2017-09-28	Syradisk
BBT 312	2017-09-28	Syradisk
BBT 304	2017-09-28	Lutdisk
BBT 324	2017-09-28	Lutdisk
BBT 306	2017-10-01	Lutdisk
BBT 312	2017-10-02	Syradisk
BBT 318	2017-10-02	Lutdisk
BBT 308	2017-10-02	Syradisk
BBT 322	2017-10-03	Lutdisk
BBT 314	2017-10-03	Lutdisk
BBT 317	2017-10-03	Syradisk
BBT 311	2017-10-03	Syradisk
BBT 305	2017-10-03	Syradisk
BBT 323	2017-10-04	Lutdisk
BBT 304	2017-10-04	Syradisk
BBT 316	2017-10-04	Lutdisk
BBT 310	2017-10-04	Syradisk
BBT 313	2017-10-05	Lutdisk
BBT 309	2017-10-05	Syradisk
BBT 307	2017-10-05	Lutdisk
BBT 311	2017-10-06	Lutdisk
T34	2017-10-06	Syradisk
Maltax	2017-10-06	Rengjord
Filtret-Veckoavslut	2017-10-06	Lutsterilning
Aldox	2017-10-06	Syradisk
T45	2017-10-06	Lutdisk
Kolsyraledning	2017-10-06	Rengjord
Aldox	2017-10-06	Syradisk
BBT 314	2017-10-08	Syradisk
BBT 318	2017-10-08	Syradisk
BBT 323	2017-10-08	Syradisk
BBT 325	2017-10-08	Lutdisk
BBT 308	2017-10-08	Lutdisk
BBT 305	2017-10-09	Lutdisk
BBT 304	2017-10-09	Lutdisk
BBT 316	2017-10-09	Syradisk
BBT 324	2017-10-10	Syradisk
BBT 320	2017-10-11	Lutdisk
BBT 310	2017-10-12	Syradisk
BBT 306	2017-10-12	Syradisk
BBT 311	2017-10-12	Syradisk
BBT 314	2017-10-12	Syradisk
BBT 311	2017-10-12	Syradisk
BBT 311	2017-10-12	Syradisk
BBT 312	2017-10-12	Lutdisk
BBT 308	2017-10-12	Syradisk
T34	2017-10-13	Lutdisk
T45	2017-10-13	Lutdisk
Maltax	2017-10-13	Rengjord
Gamla runtkörningen	2017-10-13	Totaldisk
BBT 304	2017-10-13	Syradisk
BBT 305	2017-10-13	Syradisk
Aldox	2017-10-13	Syradisk
Filtret-Veckoavslut	2017-10-13	Lutsterilning
BBT 309	2017-10-15	Lutdisk
BBT 323	2017-10-15	Syradisk
BBT 321	2017-10-15	Lutdisk
BBT 318	2017-10-15	Syradisk
BBT 316	2017-10-15	Syradisk
BBT 317	2017-10-16	Lutdisk
BBT 322	2017-10-16	Syradisk
BBT 325	2017-10-17	Lutdisk
BBT 305	2017-10-17	Lutdisk
BBT 313	2017-10-17	Syradisk
BBT 310	2017-10-17	Lutdisk
BBT 320	2017-10-18	Syradisk
BBT 314	2017-10-19	Syradisk
BBT 314	2017-10-19	Syradisk
BBT 314	2017-10-19	Syradisk
BBT 305	2017-10-19	Syradisk
BBT 304	2017-10-19	Syradisk
BBT 308	2017-10-20	Syradisk
BBT 323	2017-10-20	Syradisk
T34	2017-10-20	Syradisk
BBT 306	2017-10-22	Syradisk
BBT 322	2017-10-22	Syradisk
BBT 319	2017-10-23	Lutdisk
BBT 324	2017-10-23	Lutdisk
BBT 314	2017-10-23	Lutdisk
Filtret Sterilning	2017-10-23	Genomförd
BBT 307	2017-10-23	Syradisk
BBT 317	2017-10-24	Syradisk
BBT 321	2017-10-24	Syradisk
BBT 305	2017-10-25	Syradisk
BBT 309	2017-10-25	Syradisk
BBT 309	2017-10-25	Syradisk
BBT 316	2017-10-26	Lutdisk
BBT 304	2017-10-26	Syradisk
BBT 311	2017-10-26	Syradisk
BBT 307	2017-10-26	Lutdisk
BBT 323	2017-10-26	Lutdisk
BBT 313	2017-10-26	Lutdisk
BBT 306	2017-10-26	Lutdisk
T34	2017-10-27	Syradisk
Maltax	2017-10-27	Rengjord
Filtret-Veckoavslut	2017-10-27	Lutsterilning
T45	2017-10-27	Syradisk
BBT 319	2017-10-29	Syradisk
BBT 312	2017-10-29	Syradisk
BBT 314	2017-10-29	Syradisk
BBT 308	2017-10-29	Lutdisk
BBT 324	2017-10-30	Syradisk
BBT 305	2017-10-31	Syradisk
BBT 321	2017-10-31	Syradisk
BBT 317	2017-11-01	Syradisk
BBT 320	2017-11-01	Syradisk
BBT 316	2017-11-01	Syradisk
BBT 310	2017-11-02	Lutdisk
BBT 319	2017-11-03	Syradisk
BBT 304	2017-11-03	Lutdisk
BBT 305	2017-11-03	Lutdisk
BBT 306	2017-11-03	Syradisk
Filtret Sterilning	2017-11-04	Genomförd
T45	2017-11-04	Lutdisk
T34	2017-11-04	Lutdisk
BBT 311	2017-11-05	Lutdisk
BBT 309	2017-11-05	Lutdisk
BBT 322	2017-11-05	Lutdisk
BBT 323	2017-11-05	Syradisk
BBT 312	2017-11-05	Lutdisk
BBT 324	2017-11-06	Syradisk
BBT 325	2017-11-07	Lutdisk
BBT 321	2017-11-07	Lutdisk
BBT 318	2017-11-08	Lutdisk
BBT 316	2017-11-08	Syradisk
BBT 306	2017-11-08	Syradisk
T34	2017-11-09	Lutdisk
T45	2017-11-09	Lutdisk
Aldox	2017-11-09	Syradisk
Maltax	2017-11-09	Rengjord
BBT 317	2017-11-09	Syradisk
BBT 308	2017-11-09	Syradisk
BBT 306	2017-11-10	Syradisk
T45	2017-11-10	Syradisk
Filtret-Veckoavslut	2017-11-10	Lutsterilning
T34	2017-11-10	Syradisk
Vattenfilter	2017-11-10	Lutdisk
BBT 321	2017-11-10	Syradisk
BBT 304	2017-11-12	Syradisk
BBT 305	2017-11-12	Syradisk
BBT 320	2017-11-12	Lutdisk
BBT 309	2017-11-12	Syradisk
BBT 317	2017-11-09	Lutdisk
Gamla runtkörningen	2017-11-09	Totaldisk
BBT 319	2017-11-13	Lutdisk
BBT 324	2017-11-13	Lutdisk
BBT 310	2017-11-14	Syradisk
BBT 314	2017-11-15	Lutdisk
BBT 311	2017-11-15	Syradisk
BBT 318	2017-11-15	Syradisk
BBT 325	2017-11-15	Syradisk
BBT 311	2017-11-16	Syradisk
BBT 316	2017-11-16	Lutdisk
BBT 308	2017-11-16	Lutdisk
BBT 307	2017-11-17	Lutdisk
BBT 319	2017-11-17	Syradisk
BBT 307	2017-11-19	Syradisk
BBT 304	2017-11-19	Syradisk
BBT 305	2017-11-19	Syradisk
BBT 320	2017-11-19	Syradisk
BBT 323	2017-11-19	Lutdisk
T34	2017-11-20	Syradisk
Filtret Sterilning	2017-11-22	Genomförd
BBT 310	2017-11-22	Syradisk
BBT 318	2017-11-23	Syradisk
BBT 317	2017-11-23	Syradisk
BBT 314	2017-11-23	Syradisk
BBT 318	2017-11-23	Lutdisk
BBT 310	2017-11-23	Syradisk
BBT 309	2017-11-23	Lutdisk
BBT 316	2017-11-23	Syradisk
BBT 322	2017-11-24	Lutdisk
BBT 306	2017-11-24	Lutdisk
BBT 325	2017-11-24	Syradisk
BBT 315	2017-11-24	Lutdisk
Gamla runtkörningen	2017-11-25	Totaldisk
Maltax	2017-11-25	Rengjord
T34	2017-11-26	Lutdisk
BBT 304	2017-11-26	Lutdisk
T45	2017-11-26	Syradisk
Filtret-Veckoavslut	2017-11-26	Lutsterilning
BBT 305	2017-11-26	Lutdisk
BBT 324	2017-11-26	Syradisk
BBT 316	2017-11-26	Syradisk
BBT 321	2017-11-27	Lutdisk
BBT 323	2017-11-27	Syradisk
BBT 319	2017-11-27	Syradisk
BBT 311	2017-11-27	Lutdisk
BBT 312	2017-11-28	Lutdisk
BBT 307	2017-11-29	Syradisk
BBT 320	2017-11-30	Syradisk
BBT 312	2017-11-30	Syradisk
BBT 308	2017-11-30	Syradisk
BBT 305	2017-11-30	Syradisk
BBT 314	2017-11-30	Syradisk
BBT 315	2017-11-30	Syradisk
BBT 310	2017-11-30	Lutdisk
BBT 309	2017-12-01	Syradisk
BBT 318	2017-12-01	Syradisk
Gamla runtkörningen	2017-12-03	Totaldisk
Filtret-Veckoavslut	2017-12-03	Lutsterilning
Maltax	2017-12-03	Rengjord
Aldox	2017-12-03	Syradisk
T34	2017-12-03	Syradisk
BBT 319	2017-12-03	Lutdisk
T45	2017-12-03	Lutdisk
BBT 324	2017-12-03	Lutdisk
BBT 304	2017-12-03	Syradisk
BBT 306	2017-12-03	Syradisk
BBT 325	2017-12-04	Lutdisk
BBT 316	2017-12-04	Lutdisk
BBT 311	2017-12-04	Syradisk
BBT 320	2017-12-04	Lutdisk
BBT 324	2017-12-05	Syradisk
BBT 305	2017-12-06	Syradisk
BBT 323	2017-12-05	Syradisk
BBT 319	2017-12-06	Syradisk
BBT 324	2017-12-06	Syradisk
BBT 322	2017-12-07	Lutdisk
BBT 312	2017-12-05	Lutdisk
BBT 304	2017-12-07	Syradisk
302 Vattentank	2017-12-07	Lutdisk
301 Vattentank	2017-12-08	Lutdisk
303 Vattentank	2017-12-08	Lutdisk
Aldox	2017-12-08	Syradisk
BBT 318	2017-12-08	Syradisk
T45	2017-12-08	Syradisk
BBT 306	2017-12-10	Syradisk
BBT 315	2017-12-10	Syradisk
BBT 312	2017-12-10	Syradisk
BBT 309	2017-12-10	Syradisk
BBT 317	2017-12-11	Lutdisk
BBT 310	2017-12-11	Syradisk
BBT 320	2017-12-11	Syradisk
BBT 308	2017-12-11	Lutdisk
BBT 316	2017-12-12	Syradisk
BBT 323	2017-12-12	Lutdisk
Filtret-Veckoavslut	2017-12-10	Lutsterilning
T34	2017-12-10	Syradisk
BBT 325	2017-12-12	Syradisk
BBT 311	2017-12-13	Syradisk
BBT 307	2017-12-13	Lutdisk
BBT 314	2017-12-14	Lutdisk
BBT 304	2017-12-14	Syradisk
BBT 310	2017-12-14	Syradisk
BBT 316	2017-12-14	Syradisk
BBT 325	2017-12-15	Syradisk
BBT 321	2017-12-16	Lutdisk
Maltax	2017-12-16	Rengjord
T34	2017-12-17	Lutdisk
T45	2017-12-17	Lutdisk
BBT 315	2017-12-17	Lutdisk
Vattenfilter	2017-12-17	Dubbeldisk
Filtret Sterilning	2017-12-17	Genomförd
BBT 308	2017-12-17	Syradisk
BBT 318	2017-12-17	Lutdisk
BBT 309	2017-12-17	Lutdisk
BBT 320	2017-12-17	Syradisk
BBT 317	2017-12-17	Syradisk
BBT 325	2017-12-18	Syradisk
BBT 323	2017-12-18	Syradisk
BBT 314	2017-12-18	Syradisk
BBT 311	2017-12-18	Lutdisk
BBT 324	2017-12-19	Lutdisk
BBT 305	2017-12-19	Lutdisk
BBT 316	2017-12-20	Lutdisk
BBT 315	2017-12-20	Lutdisk
BBT 307	2017-12-20	Lutdisk
BBT 309	2017-12-21	Lutdisk
BBT 312	2017-12-21	Lutdisk
BBT 304	2017-12-22	Lutdisk
BBT 321	2017-12-22	Lutdisk
T45	2017-12-22	Lutdisk
BBT 305	2017-12-22	Lutdisk
T45	2017-12-22	Lutdisk
BBT 321	2017-12-22	Lutdisk
T34	2017-12-22	Lutdisk
BBT 320	2017-12-26	Lutdisk
BBT 322	2017-12-26	Lutdisk
BBT 318	2017-12-26	Lutdisk
BBT 315	2017-12-26	Lutdisk
BBT 324	2017-12-27	Lutdisk
BBT 313	2017-12-27	Lutdisk
BBT 316	2017-12-27	Lutdisk
BBT 308	2017-12-27	Lutdisk
BBT 314	2017-12-27	Lutdisk
BBT 317	2017-12-27	Lutdisk
BBT 306	2017-12-28	Lutdisk
BBT 320	2017-12-28	Lutdisk
T34	2017-12-29	Syradisk
T45	2017-12-29	Syradisk
Filtret-Veckoavslut	2017-12-29	Lutsterilning
Maltax	2017-12-29	Rengjord
Gamla runtkörningen	2017-12-29	Totaldisk
BBT 320	2018-01-01	Syradisk
BBT 312	2018-01-01	Syradisk
BBT 304	2018-01-01	Syradisk
BBT 310	2018-01-01	Lutdisk
BBT 325	2018-01-01	Lutdisk
BBT 309	2018-01-01	Syradisk
BBT 315	2018-01-02	Syradisk
BBT 308	2018-01-03	Syradisk
BBT 322	2018-01-04	Syradisk
BBT 307	2018-01-04	Syradisk
BBT 317	2018-01-04	Syradisk
BBT 316	2018-01-05	Syradisk
T45	2018-01-05	Syradisk
Gamla runtkörningen	2018-01-05	Totaldisk
Maltax	2018-01-05	Rengjord
Filtret-Veckoavslut	2018-01-05	Lutsterilning
T34	2018-01-05	Syradisk
BBT 323	2018-01-07	Lutdisk
Vattenfilter	2018-01-07	Syradisk
BBT 304	2018-01-07	Syradisk
BBT 307	2018-01-08	Lutdisk
BBT 324	2018-01-09	Syradisk
BBT 310	2018-01-09	Syradisk
BBT 311	2018-01-09	Lutdisk
BBT 308	2018-01-09	Syradisk
BBT 313	2018-01-10	Syradisk
BBT 314	2018-01-10	Syradisk
BBT 323	2018-01-11	Syradisk
BBT 321	2018-01-11	Lutdisk
T45	2018-01-11	Lutdisk
Stora balanssystemet (1)	2018-01-11	Lutdisk
Lilla balanssystemet (2)	2018-01-11	Lutdisk
BBT 312	2018-01-11	Syradisk
BBT 318	2018-01-11	Syradisk
BBT 309	2018-01-12	Lutdisk
BBT 305	2018-01-12	Syradisk
BBT 315	2018-01-12	Syradisk
Gamla runtkörningen	2018-01-12	Totaldisk
T34	2018-01-12	Lutdisk
BBT 310	2018-01-14	Syradisk
BBT 317	2018-01-14	Syradisk
BBT 322	2018-01-14	Lutdisk
BBT 304	2018-01-15	Lutdisk
Filtret-Veckoavslut	2018-01-15	Lutsterilning
BBT 308	2018-01-15	Lutdisk
BBT 311	2018-01-15	Syradisk
BBT 306	2018-01-16	Syradisk
BBT 324	2018-01-16	Syradisk
BBT 316	2018-01-16	Lutdisk
BBT 313	2018-01-17	Lutdisk
BBT 314	2018-01-17	Lutdisk
Aldox	2018-01-18	Syradisk
Filtret Sterilning	2018-01-18	Genomförd
BBT 312	2018-01-18	Lutdisk
BBT 315	2018-01-19	Lutdisk
BBT 320	2018-01-19	Lutdisk
BBT 305	2018-01-19	Lutdisk
BBT 304	2018-01-19	Syradisk
Gurtank T67	2018-01-19	Syradisk
Gurtank T68	2018-01-19	Syradisk
T34	2018-01-19	Syradisk
Filtret-Veckoavslut	2018-01-19	Lutsterilning
Maltax	2018-01-19	Rengjord
T34	2018-01-19	Lutdisk
T45	2018-01-19	Lutdisk
Filtret-Veckoavslut	2018-01-19	Lutsterilning
Aldox	2018-01-19	Syradisk
301 Vattentank	2018-01-19	Lutdisk
302 Vattentank	2018-01-19	Lutdisk
303 Vattentank	2018-01-19	Lutdisk
BBT 325	2018-01-21	Lutdisk
BBT 305	2018-01-22	Syradisk
BBT 310	2018-01-22	Syradisk
BBT 313	2018-01-22	Syradisk
BBT 317	2018-01-22	Lutdisk
BBT 311	2018-01-23	Syradisk
BBT 306	2018-01-23	Lutdisk
BBT 321	2018-01-23	Syradisk
BBT 307	2018-01-23	Syradisk
BBT 323	2018-01-23	Syradisk
BBT 314	2018-01-23	Syradisk
BBT 305	2018-01-23	Syradisk
BBT 308	2018-01-23	Syradisk
BBT 309	2018-01-25	Syradisk
BBT 316	2018-01-25	Syradisk
T34	2018-01-26	Syradisk
T45	2018-01-26	Lutdisk
BBT 321	2018-01-26	Lutdisk
BBT 306	2018-01-26	Syradisk
Filtret-Veckoavslut	2018-01-26	Lutsterilning
Maltax	2018-01-26	Rengjord
BBT 314	2018-01-26	Syradisk
BBT 305	2018-01-26	Syradisk
Kolsyraledning	2018-01-28	Rengjord
BBT 320	2018-01-28	Syradisk
BBT 304	2018-01-28	Syradisk
BBT 312	2018-01-28	Syradisk
BBT 307	2018-01-28	Lutdisk
Aldox	2018-01-28	Syradisk
BBT 325	2018-01-28	Syradisk
BBT 315	2018-01-28	Syradisk
Filtret Sterilning	2018-01-29	Genomförd
BBT 310	2018-01-29	Lutdisk
T34	2018-01-29	Syradisk
BBT 316	2018-01-29	Syradisk
BBT 313	2018-01-29	Syradisk
BBT 308	2018-01-30	Syradisk
BBT 323	2018-01-30	Lutdisk
BBT 311	2018-01-30	Lutdisk
BBT 309	2018-01-30	Syradisk
BBT 324	2018-02-01	Lutdisk
T34	2018-02-01	Lutdisk
BBT 309	2018-02-01	Lutdisk
BBT 322	2018-02-01	Syradisk
BBT 321	2018-02-02	Syradisk
Maltax	2018-02-03	Rengjord
T34	2018-02-03	Syradisk
T45	2018-02-03	Syradisk
Filtret-Veckoavslut	2018-02-03	Lutsterilning
Gurtank T66	2018-02-04	Syradisk
BBT 315	2018-02-04	Syradisk
BBT 313	2018-02-05	Lutdisk
BBT 322	2018-02-05	Lutdisk
BBT 308	2018-02-05	Lutdisk
BBT 307	2018-02-05	Syradisk
BBT 304	2018-02-05	Lutdisk
BBT 316	2018-02-05	Lutdisk
BBT 314	2018-02-05	Syradisk
BBT 317	2018-02-06	Syradisk
BBT 323	2018-02-06	Syradisk
BBT 325	2018-02-06	Syradisk
BBT 320	2018-02-07	Lutdisk
Filtret Sterilning	2018-02-07	Genomförd
BBT 305	2018-02-07	Lutdisk
BBT 321	2018-02-08	Syradisk
BBT 310	2018-02-08	Syradisk
BBT 304	2018-02-08	Syradisk
BBT 312	2018-02-08	Lutdisk
BBT 322	2018-02-09	Syradisk
Filtret Sterilning	2018-02-09	Genomförd
BBT 309	2018-02-09	Syradisk
T34	2018-02-11	Syradisk
T45	2018-02-11	Syradisk
BBT 307	2018-02-12	Syradisk
BBT 316	2018-02-12	Syradisk
BBT 317	2018-02-12	Lutdisk
BBT 325	2018-02-12	Lutdisk
BBT 323	2018-02-12	Syradisk
BBT 321	2018-02-13	Syradisk
BBT 314	2018-02-13	Lutdisk
BBT 312	2018-02-13	Syradisk
BBT 313	2018-02-14	Syradisk
BBT 304	2018-02-15	Syradisk
BBT 310	2018-02-15	Syradisk
BBT 306	2018-02-16	Lutdisk
BBT 309	2018-02-16	Syradisk
BBT 315	2018-02-16	Lutdisk
BBT 305	2018-02-16	Syradisk
T34	2018-02-16	Syradisk
T45	2018-02-16	Lutdisk
Filtret-Veckoavslut	2018-02-16	Lutsterilning
Vattenfilter	2018-02-16	Genomförd
Kontrollera BBT:er i Citect	2018-02-16	Genomförd
Maltax	2018-02-16	Rengjord
Aldox	2018-02-17	Syradisk
BBT 307	2018-02-18	Lutdisk
BBT 314	2018-02-18	Syradisk
BBT 308	2018-02-18	Syradisk
BBT 311	2018-02-19	Syradisk
BBT 316	2018-02-19	Syradisk
BBT 317	2018-02-19	Syradisk
BBT 319	2018-02-19	Lutdisk
BBT 324	2018-02-20	Syradisk
BBT 323	2018-02-20	Syradisk
BBT 312	2018-02-21	Syradisk
BBT 320	2018-02-21	Syradisk
BBT 322	2018-02-21	Syradisk
BBT 310	2018-02-21	Lutdisk
BBT 316	2018-02-22	Lutdisk
BBT 311	2018-02-22	Lutdisk
BBT 306	2018-02-23	Syradisk
BBT 307	2018-02-23	Syradisk
BBT 309	2018-02-24	Lutdisk
Filtret Sterilning	2018-02-25	Genomförd
Kontrollera BBT:er i Citect	2018-02-25	Genomförd
T45	2018-02-25	Syradisk
BBT 304	2018-02-25	Syradisk
T34	2018-02-25	Lutdisk
BBT 319	2018-02-25	Lutdisk
BBT 314	2018-02-26	Syradisk
BBT 308	2018-02-26	Lutdisk
BBT 316	2018-02-26	Syradisk
BBT 325	2018-02-26	Syradisk
BBT 313	2018-02-27	Lutdisk
BBT 316	2018-02-27	Syradisk
BBT 315	2018-02-27	Syradisk
BBT 320	2018-02-27	Lutdisk
BBT 323	2018-02-27	Lutdisk
BBT 305	2018-02-27	Lutdisk
BBT 304	2018-02-27	Lutdisk
BBT 324	2018-02-28	Lutdisk
BBT 307	2018-02-28	Syradisk
BBT 310	2018-03-01	Syradisk
BBT 315	2018-03-01	Syradisk
BBT 321	2018-03-01	Lutdisk
BBT 317	2018-03-02	Syradisk
BBT 325	2018-03-02	Lutdisk
T45	2018-03-02	Syradisk
T34	2018-03-02	Syradisk
Vattenfilter	2018-03-02	Genomförd
Maltax	2018-03-02	Rengjord
Kontrollera BBT:er i Citect	2018-03-02	Genomförd
Filtret-Veckoavslut	2018-03-02	Lutsterilning
BBT 322	2018-03-04	Lutdisk
BBT 306	2018-03-04	Syradisk
